"Time","Type","NbrCalls"
2016-12-28 16:00:00,"Trash / Recycling-Trash Collection-Missed by City",10
2016-12-28 16:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",26
2016-12-28 16:00:00,"Trees-Trimming-Tree Limbs",40
2016-12-28 16:00:00,"Vehicles / Parking-Abandoned On Street-Car",52
2016-12-28 17:00:00,"Animals / Pets-Dead Animal -Curb",17
2016-12-28 17:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",31
2016-12-28 17:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",7
2016-12-28 17:00:00,"Property Violations",115
2016-12-28 17:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",16
2016-12-28 17:00:00,"Trash / Recycling-Services-Service Issue / Problem",28
2016-12-28 17:00:00,"Trash / Recycling-Trash Collection-Missed by City",18
2016-12-28 17:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",43
2016-12-28 17:00:00,"Trees-Trimming-Tree Limbs",15
2016-12-28 17:00:00,"Vehicles / Parking-Abandoned On Street-Car",22
2016-12-28 18:00:00,"Animals / Pets-Dead Animal -Curb",15
2016-12-28 18:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",30
2016-12-28 18:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",7
2016-12-28 18:00:00,"Property Violations",75
2016-12-28 18:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",132
2016-12-28 18:00:00,"Trash / Recycling-Services-Service Issue / Problem",21
2016-12-28 18:00:00,"Trash / Recycling-Trash Collection-Missed by City",110
2016-12-28 18:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",244
2016-12-28 18:00:00,"Trees-Trimming-Tree Limbs",6
2016-12-28 18:00:00,"Vehicles / Parking-Abandoned On Street-Car",16
2016-12-28 19:00:00,"Animals / Pets-Dead Animal -Curb",3
2016-12-28 19:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",4
2016-12-28 19:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",3
2016-12-28 19:00:00,"Property Violations",66
2016-12-28 19:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",8
2016-12-28 19:00:00,"Trash / Recycling-Services-Service Issue / Problem",1
2016-12-28 19:00:00,"Trash / Recycling-Trash Collection-Missed by City",10
2016-12-28 19:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",17
2016-12-28 19:00:00,"Trees-Trimming-Tree Limbs",1
2016-12-28 19:00:00,"Vehicles / Parking-Abandoned On Street-Car",3
2016-12-28 20:00:00,"Animals / Pets-Dead Animal -Curb",4
2016-12-28 20:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",0
2016-12-28 20:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",1
2016-12-28 20:00:00,"Property Violations",37
2016-12-28 20:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",0
2016-12-28 20:00:00,"Trash / Recycling-Services-Service Issue / Problem",0
2016-12-28 20:00:00,"Trash / Recycling-Trash Collection-Missed by City",2
2016-12-28 20:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",7
2016-12-28 20:00:00,"Trees-Trimming-Tree Limbs",5
2016-12-28 20:00:00,"Vehicles / Parking-Abandoned On Street-Car",2
2016-12-28 21:00:00,"Animals / Pets-Dead Animal -Curb",1
2016-12-28 21:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",0
2016-12-28 21:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",2
2016-12-28 21:00:00,"Property Violations",35
2016-12-28 21:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",1
2016-12-28 21:00:00,"Trash / Recycling-Services-Service Issue / Problem",0
2016-12-28 21:00:00,"Trash / Recycling-Trash Collection-Missed by City",1
2016-12-28 21:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",3
2016-12-28 21:00:00,"Trees-Trimming-Tree Limbs",2
2016-12-28 21:00:00,"Vehicles / Parking-Abandoned On Street-Car",0
2016-12-28 22:00:00,"Animals / Pets-Dead Animal -Curb",0
2016-12-28 22:00:00,"Animals / Pets-Stray-At Large - Non-Aggressive",0
2016-12-28 22:00:00,"Prop/Build/Construct-Dangerous Building-Open to entry",3
2016-12-28 22:00:00,"Property Violations",28
2016-12-28 22:00:00,"Trash / Recycling-Recycling-Missed by Contractor South",0
2016-12-28 22:00:00,"Trash / Recycling-Services-Service Issue / Problem",0
2016-12-28 22:00:00,"Trash / Recycling-Trash Collection-Missed by City",0
2016-12-28 22:00:00,"Trash / Recycling-Trash Collection-Missed by Contractor South",1
2016-12-28 22:00:00,"Trees-Trimming-Tree Limbs",1
